Name,body Shape,dress size,Breasts-Waist-Hips(m),Shoe/Feet,Bra size,Cup size,Height(m),Weight(kg),Natural breasts or implants?
Jackie Parr, Banana , 6,2.261-1.549-2.184, 9, 34A, A,1.72,58, Natural  

Michelle Money, Hourglass , 8,2.388-1.676-2.464, 7, 34C, C,1.68,59, Natural  

Christy Hansen, Hourglass , 8,2.388-1.549-2.311, 7, 34C, C,1.65,58, Natural  

AshLee Frazier, Hourglass , 8,2.388-1.626-2.311, 7, 34C, C,1.7,61, Natural  

Angie Griffin, Apple , 14,2.642-1.803-2.464, 7, 36E, E,1.7,75, Implants  

Kendra Wilkinson, Hourglass , N/A,2.464-1.626-2.311, 7, 34D, D,1.63,65, Implants  

Jennie Garth, Hourglass , 6,2.311-1.676-2.311, 7.5, 34B, B,1.65,62, Natural  

Bethany Mota, Banana , 4,2.261-1.626-2.261, 8.5, 34A, A,1.63,53, Natural  

Rachel Riley, Hourglass , 6,2.311-1.549-2.311, 8.5, 34B, B,1.7,57, Natural  

Lacy Faddoul, Hourglass , N/A,2.591-1.676-2.311, 7, 36D, D,1.65,65, Natural  

Nicole Richie, Banana , 0,2.134-1.473-2.184, 7, 32AA-32A, AA-A,1.55,45, Natural  

Kate Garraway, Hourglass , 12,2.515-1.803-2.464, 4, 36C, C,1.6,70, Natural  

Sandra Smith, Banana , 6,2.261-1.549-2.311, 7, 34A, A,1.73,60, Natural  

Molly Line, Hourglass , 6,2.311-1.676-2.388, 7, 34B, B,1.63,60, Natural  

Cassandra Peterson, Hourglass , 10,2.464-1.676-2.388, 9, 34D, D,1.7,69, Implants  

Nikki Bella, Hourglass , N/A,2.515-1.753-2.464, 7, 36C , C ,1.68,70, Implants  

Jamie Colby, Hourglass , 10,2.388-1.753-2.388, 7, 34C, C,1.7,68, Natural  

Ann Coulter, Hourglass , 10,2.464-1.753-2.388, 12, 34D, D,1.83,66, Natural  

Evelyn Taft, Hourglass , N/A,2.515-1.626-2.388, 6.5, 34DD , DD ,Null,60, Natural  

Aisha Tyler, Hourglass , 8,2.388-1.676-2.388, 10, 34C, C,1.83,62, Natural  

Trisha Hershberger, Hourglass , 8,2.464-1.626-2.388, 5.5, 34D, D,1.55,52, Natural  

Nicole Briscoe, Apple , 10,2.515-1.753-2.388, 7, 36C, C,1.74,68, Natural  

Courtney Hansen, Hourglass , 6,2.311-1.626-2.311, 9, 34B, B,1.75,60, Natural  

Kari Byron, Hourglass , 8,2.311-1.676-2.311, 5, 34B, B,1.72,67, Natural  

Brooke Burns, Hourglass , 8,2.311-1.626-2.311, 10, 34B, B,1.73,61, Natural  

Sadie Robertson, Banana , 2,2.134-1.549-2.261, 7, 32A, A,1.65,50, Natural  

Natalie Sawyer, Hourglass , 10 ,2.464-1.753-2.464, 7, 34D, D,1.72,68, Natural  

Rachael Ray, Apple , 8,2.388-1.803-2.464, 8.5, 36A, A,1.6,64, Natural  

Snooki, Hourglass , 4,2.261-1.626-2.261, 5, 32C, C,1.42,48, Natural  

Lara Spencer, Banana , 6,2.311-1.676-2.311, 7, 34B, B,1.68,57, Natural  

Katie Pavlich, Hourglass , 10,2.388-1.676-2.388, 7, 34C, C,1.65,64, Natural  

Stacey Dash, Hourglass , 8,2.311-1.626-2.388, 8, 34B, B,1.63,59, Natural  

Lis Wiehl, Hourglass , 10,2.388-1.88-2.515, 7, 34C, C,1.83,78, Implants 

Kathie Lee Gifford, Hourglass , 14,2.591-1.93-2.464, 7.5, 36D, D,1.65,68, Natural 

Bethenny Frankel, Hourglass , 8,2.388-1.549-2.311, 8, 34C, C,1.7,55, Natural 

Julie Banderas, Hourglass , 8,2.311-1.676-2.464, 7, 34B, B,1.65,60, Natural 

April Scott, Hourglass , 8,2.388-1.549-2.311, 7, 34C, C,1.7,59, Implants 

Kirsten Powers, Hourglass , 8,2.311-1.753-2.388, 7, 34B, B,1.83,66, Natural 

Carol Kirkwood, Hourglass , 10,2.464-1.803-2.515, 7, 34D, D,1.75,67, Natural 

Sandra Lee, Hourglass , 10,2.515-1.753-2.515, 8, 34DD, DD,1.63,65, Natural 

Nargis Fakhri, Hourglass , 6,2.261-1.549-2.311, 8.5, 32C, C,1.75,60, Natural 

Lindsay Elyse, Hourglass , 10,2.464-1.626-2.311, 7, 34D, D,1.75,64, Natural 

Jenna Marbles, Banana , N/A,2.311-1.524-2.184, 8.5, 32D, D,1.65,55, Implants 

Jill Wagner, Banana , 4,2.388-1.626-2.261, 9, 34C in 2014 / 32B in 2004, B-C,1.73,61, Natural 

